locus_tag	ftype	length_bp	gene	EC_number	COG	product
OLGNLAKD_00001	gene	531				
OLGNLAKD_00001	CDS	531				hypothetical protein
OLGNLAKD_00002	gene	76				
OLGNLAKD_00002	tRNA	76				tRNA-Phe(gaa)
OLGNLAKD_00003	gene	1116	sbp			
OLGNLAKD_00003	CDS	1116	sbp		COG1613	Sulfate-binding protein
OLGNLAKD_00004	gene	1080	mdtA_1			
OLGNLAKD_00004	CDS	1080	mdtA_1			Multidrug resistance protein MdtA
OLGNLAKD_00005	gene	1059	macA_1			
OLGNLAKD_00005	CDS	1059	macA_1		COG0845	Macrolide export protein MacA
OLGNLAKD_00006	gene	3084	ttgH			
OLGNLAKD_00006	CDS	3084	ttgH			Toluene efflux pump membrane transporter TtgH
OLGNLAKD_00007	gene	729				
OLGNLAKD_00007	CDS	729				hypothetical protein
OLGNLAKD_00008	gene	168	rpmG			
OLGNLAKD_00008	CDS	168	rpmG		COG0267	50S ribosomal protein L33
OLGNLAKD_00009	gene	711				
OLGNLAKD_00009	CDS	711				hypothetical protein
OLGNLAKD_00010	gene	690	amiD			
OLGNLAKD_00010	CDS	690	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
OLGNLAKD_00011	gene	678				
OLGNLAKD_00011	CDS	678				hypothetical protein
OLGNLAKD_00012	gene	1479	gatA			
OLGNLAKD_00012	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
OLGNLAKD_00013	gene	288	gatC			
OLGNLAKD_00013	CDS	288	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
OLGNLAKD_00014	gene	693				
OLGNLAKD_00014	CDS	693				hypothetical protein
OLGNLAKD_00015	gene	1125				
OLGNLAKD_00015	CDS	1125				hypothetical protein
OLGNLAKD_00016	gene	1770				
OLGNLAKD_00016	CDS	1770				hypothetical protein
OLGNLAKD_00017	gene	345	ybaB			
OLGNLAKD_00017	CDS	345	ybaB		COG0718	Nucleoid-associated protein YbaB
OLGNLAKD_00018	gene	600	recR			
OLGNLAKD_00018	CDS	600	recR		COG0353	Recombination protein RecR
OLGNLAKD_00019	gene	348				
OLGNLAKD_00019	CDS	348				hypothetical protein
OLGNLAKD_00020	gene	684	fzlA			
OLGNLAKD_00020	CDS	684	fzlA			FtsZ-localized protein A
OLGNLAKD_00021	gene	1017	queG			
OLGNLAKD_00021	CDS	1017	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
OLGNLAKD_00022	gene	951	cntI_1			
OLGNLAKD_00022	CDS	951	cntI_1			Pseudopaline exporter CntI
OLGNLAKD_00023	gene	195				
OLGNLAKD_00023	CDS	195				hypothetical protein
OLGNLAKD_00024	gene	870	ilvE_1			
OLGNLAKD_00024	CDS	870	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
OLGNLAKD_00025	gene	501				
OLGNLAKD_00025	CDS	501				hypothetical protein
OLGNLAKD_00026	gene	714	ompR_1			
OLGNLAKD_00026	CDS	714	ompR_1			Transcriptional regulatory protein OmpR
OLGNLAKD_00027	gene	576	petA			
OLGNLAKD_00027	CDS	576	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
OLGNLAKD_00028	gene	1314	petB			
OLGNLAKD_00028	CDS	1314	petB		COG1290	Cytochrome b
OLGNLAKD_00029	gene	843	petC			
OLGNLAKD_00029	CDS	843	petC			Cytochrome c1
OLGNLAKD_00030	gene	627				
OLGNLAKD_00030	CDS	627				hypothetical protein
OLGNLAKD_00031	gene	444				
OLGNLAKD_00031	CDS	444				hypothetical protein
OLGNLAKD_00032	gene	798	occP_1			
OLGNLAKD_00032	CDS	798	occP_1			Octopine permease ATP-binding protein P
OLGNLAKD_00033	gene	720	argT			
OLGNLAKD_00033	CDS	720	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
OLGNLAKD_00034	gene	882	artQ_1			
OLGNLAKD_00034	CDS	882	artQ_1		COG4215	Arginine ABC transporter permease protein ArtQ
OLGNLAKD_00035	gene	834				
OLGNLAKD_00035	CDS	834				hypothetical protein
OLGNLAKD_00036	gene	1332	puuA_1			
OLGNLAKD_00036	CDS	1332	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
OLGNLAKD_00037	gene	687				
OLGNLAKD_00037	CDS	687				hypothetical protein
OLGNLAKD_00038	gene	171				
OLGNLAKD_00038	CDS	171				hypothetical protein
OLGNLAKD_00039	gene	1368	puuA_2			
OLGNLAKD_00039	CDS	1368	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
OLGNLAKD_00040	gene	1308	puuB_1			
OLGNLAKD_00040	CDS	1308	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
OLGNLAKD_00041	gene	1185	arnB_1			
OLGNLAKD_00041	CDS	1185	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
OLGNLAKD_00042	gene	420	yccU			
OLGNLAKD_00042	CDS	420	yccU		COG1832	putative protein YccU
OLGNLAKD_00043	gene	795	rlmB			
OLGNLAKD_00043	CDS	795	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
OLGNLAKD_00044	gene	84				
OLGNLAKD_00044	tRNA	84				tRNA-Tyr(gta)
OLGNLAKD_00045	gene	978				
OLGNLAKD_00045	CDS	978				hypothetical protein
OLGNLAKD_00046	gene	1284				
OLGNLAKD_00046	CDS	1284		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
OLGNLAKD_00047	gene	3072				
OLGNLAKD_00047	CDS	3072				hypothetical protein
OLGNLAKD_00048	gene	1896	kefC_1			
OLGNLAKD_00048	CDS	1896	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OLGNLAKD_00049	gene	510	carD			
OLGNLAKD_00049	CDS	510	carD		COG1329	RNA polymerase-binding transcription factor CarD
OLGNLAKD_00050	gene	339	fdxA			
OLGNLAKD_00050	CDS	339	fdxA		COG1146	Ferredoxin-2
OLGNLAKD_00051	gene	297	hslR			
OLGNLAKD_00051	CDS	297	hslR		COG1188	Heat shock protein 15
OLGNLAKD_00052	gene	2895				
OLGNLAKD_00052	CDS	2895				hypothetical protein
OLGNLAKD_00053	gene	561				
OLGNLAKD_00053	CDS	561				hypothetical protein
OLGNLAKD_00054	gene	288				
OLGNLAKD_00054	CDS	288				hypothetical protein
OLGNLAKD_00055	gene	939	pldB			
OLGNLAKD_00055	CDS	939	pldB	3.1.1.5	COG2267	Lysophospholipase L2
OLGNLAKD_00056	gene	726				
OLGNLAKD_00056	CDS	726				hypothetical protein
OLGNLAKD_00057	gene	813				
OLGNLAKD_00057	CDS	813				hypothetical protein
OLGNLAKD_00058	gene	954				
OLGNLAKD_00058	CDS	954				hypothetical protein
OLGNLAKD_00059	gene	1413				
OLGNLAKD_00059	CDS	1413			COG2308	putative protein
OLGNLAKD_00060	gene	1839	pepF1			
OLGNLAKD_00060	CDS	1839	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
OLGNLAKD_00061	gene	1176				
OLGNLAKD_00061	CDS	1176				hypothetical protein
OLGNLAKD_00062	gene	816				
OLGNLAKD_00062	CDS	816				hypothetical protein
OLGNLAKD_00063	gene	171				
OLGNLAKD_00063	CDS	171				hypothetical protein
OLGNLAKD_00064	gene	762	yfiH			
OLGNLAKD_00064	CDS	762	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
OLGNLAKD_00065	gene	1071				
OLGNLAKD_00065	CDS	1071				hypothetical protein
OLGNLAKD_00066	gene	885	lgt			
OLGNLAKD_00066	CDS	885	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
OLGNLAKD_00067	gene	240	ubiK			
OLGNLAKD_00067	CDS	240	ubiK			Ubiquinone biosynthesis accessory factor UbiK
OLGNLAKD_00068	gene	291				
OLGNLAKD_00068	CDS	291				hypothetical protein
OLGNLAKD_00069	gene	1044	rluD			
OLGNLAKD_00069	CDS	1044	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
OLGNLAKD_00070	gene	900	rpoH_1			
OLGNLAKD_00070	CDS	900	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
OLGNLAKD_00071	gene	972	spnN			
OLGNLAKD_00071	CDS	972	spnN	1.1.1.384		dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
OLGNLAKD_00072	gene	501	lrp_1			
OLGNLAKD_00072	CDS	501	lrp_1		COG1522	Leucine-responsive regulatory protein
OLGNLAKD_00073	gene	942	trxB			
OLGNLAKD_00073	CDS	942	trxB	1.8.1.9	COG0492	Thioredoxin reductase
OLGNLAKD_00074	gene	456				
OLGNLAKD_00074	CDS	456				hypothetical protein
OLGNLAKD_00075	gene	1707	sat/cysC			
OLGNLAKD_00075	CDS	1707	sat/cysC		COG0529	putative bifunctional SAT/APS kinase
OLGNLAKD_00076	gene	228				
OLGNLAKD_00076	CDS	228				hypothetical protein
OLGNLAKD_00077	gene	414	ibpA			
OLGNLAKD_00077	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
OLGNLAKD_00078	gene	231				
OLGNLAKD_00078	CDS	231				hypothetical protein
OLGNLAKD_00079	gene	486	purE			
OLGNLAKD_00079	CDS	486	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OLGNLAKD_00080	gene	1065	purK			
OLGNLAKD_00080	CDS	1065	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
OLGNLAKD_00081	gene	726				
OLGNLAKD_00081	CDS	726				hypothetical protein
OLGNLAKD_00082	gene	1020	prs			
OLGNLAKD_00082	CDS	1020	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
OLGNLAKD_00083	gene	612	nsaD			
OLGNLAKD_00083	CDS	612	nsaD	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
OLGNLAKD_00084	gene	813	rutD_1			
OLGNLAKD_00084	CDS	813	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
OLGNLAKD_00085	gene	1407	fumC			
OLGNLAKD_00085	CDS	1407	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
OLGNLAKD_00086	gene	588				
OLGNLAKD_00086	CDS	588				hypothetical protein
OLGNLAKD_00087	gene	459				
OLGNLAKD_00087	CDS	459				hypothetical protein
OLGNLAKD_00088	gene	331	ssrA			
OLGNLAKD_00088	tmRNA	331	ssrA			transfer-messenger RNA, SsrA
OLGNLAKD_00089	gene	1281				
OLGNLAKD_00089	CDS	1281				hypothetical protein
OLGNLAKD_00090	gene	861				
OLGNLAKD_00090	CDS	861				hypothetical protein
OLGNLAKD_00091	gene	273	ptsO			
OLGNLAKD_00091	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
OLGNLAKD_00092	gene	402				
OLGNLAKD_00092	CDS	402				hypothetical protein
OLGNLAKD_00093	gene	939	yvcJ			
OLGNLAKD_00093	CDS	939	yvcJ		COG1660	Nucleotide-binding protein YvcJ
OLGNLAKD_00094	gene	480	hprK			
OLGNLAKD_00094	CDS	480	hprK	2.7.4.-		HPr kinase/phosphorylase
OLGNLAKD_00095	gene	1743	sasA_1			
OLGNLAKD_00095	CDS	1743	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
OLGNLAKD_00096	gene	702	creB			
