locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLPIOCIE_00001	gene	327				
GLPIOCIE_00001	CDS	327				IS3 family transposase ISRel21
GLPIOCIE_00002	gene	234				
GLPIOCIE_00002	CDS	234				hypothetical protein
GLPIOCIE_00003	gene	76				
GLPIOCIE_00003	tRNA	76				tRNA-Ala(cgc)
GLPIOCIE_00004	gene	447	trxC			
GLPIOCIE_00004	CDS	447	trxC	1.8.1.8	COG0526	Thioredoxin 2
GLPIOCIE_00005	gene	318				
GLPIOCIE_00005	CDS	318				hypothetical protein
GLPIOCIE_00006	gene	2850	gcvP			
GLPIOCIE_00006	CDS	2850	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
GLPIOCIE_00007	gene	360	gcvH			
GLPIOCIE_00007	CDS	360	gcvH		COG0509	Glycine cleavage system H protein
GLPIOCIE_00008	gene	1128	gcvT			
GLPIOCIE_00008	CDS	1128	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
GLPIOCIE_00009	gene	588				
GLPIOCIE_00009	CDS	588				hypothetical protein
GLPIOCIE_00010	gene	1323	gltX1			
GLPIOCIE_00010	CDS	1323	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
GLPIOCIE_00011	gene	408				
GLPIOCIE_00011	CDS	408				hypothetical protein
GLPIOCIE_00012	gene	366				
GLPIOCIE_00012	CDS	366				hypothetical protein
GLPIOCIE_00013	gene	723	yohK			
GLPIOCIE_00013	CDS	723	yohK		COG1346	Inner membrane protein YohK
GLPIOCIE_00014	gene	933	rbn			
GLPIOCIE_00014	CDS	933	rbn	3.1.26.11		Ribonuclease BN
GLPIOCIE_00015	gene	945	pfkB			
GLPIOCIE_00015	CDS	945	pfkB	2.7.1.11	COG1105	Putative ATP-dependent 6-phosphofructokinase isozyme 2
GLPIOCIE_00016	gene	594				
GLPIOCIE_00016	CDS	594		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
GLPIOCIE_00017	gene	1659	nadE			
GLPIOCIE_00017	CDS	1659	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
GLPIOCIE_00018	gene	1446				
GLPIOCIE_00018	CDS	1446				hypothetical protein
GLPIOCIE_00019	gene	1560	leuA			
GLPIOCIE_00019	CDS	1560	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
GLPIOCIE_00020	gene	1035	mreB			
GLPIOCIE_00020	CDS	1035	mreB			Cell shape-determining protein MreB
GLPIOCIE_00021	gene	936				
GLPIOCIE_00021	CDS	936				hypothetical protein
GLPIOCIE_00022	gene	540				
GLPIOCIE_00022	CDS	540				hypothetical protein
GLPIOCIE_00023	gene	1944	mrdA			
GLPIOCIE_00023	CDS	1944	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
GLPIOCIE_00024	gene	1140	mrdB			
GLPIOCIE_00024	CDS	1140	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
GLPIOCIE_00025	gene	939	ghrA			
GLPIOCIE_00025	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
GLPIOCIE_00026	gene	795				
GLPIOCIE_00026	CDS	795				hypothetical protein
GLPIOCIE_00027	gene	621	udg			
GLPIOCIE_00027	CDS	621	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
GLPIOCIE_00028	gene	1254	nhaA			
GLPIOCIE_00028	CDS	1254	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
GLPIOCIE_00029	gene	654	kpsT_1			
GLPIOCIE_00029	CDS	654	kpsT_1			Polysialic acid transport ATP-binding protein KpsT
GLPIOCIE_00030	gene	1557				
GLPIOCIE_00030	CDS	1557				hypothetical protein
GLPIOCIE_00031	gene	843	kdsA			
GLPIOCIE_00031	CDS	843	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
GLPIOCIE_00032	gene	75				
GLPIOCIE_00032	tRNA	75				tRNA-Gln(ttg)
GLPIOCIE_00033	gene	77				
GLPIOCIE_00033	tRNA	77				tRNA-Pro(cgg)
GLPIOCIE_00034	gene	972	ribN_1			
GLPIOCIE_00034	CDS	972	ribN_1			Riboflavin transporter
GLPIOCIE_00035	gene	450				
GLPIOCIE_00035	CDS	450				hypothetical protein
GLPIOCIE_00036	gene	459	lrp_1			
GLPIOCIE_00036	CDS	459	lrp_1		COG1522	Leucine-responsive regulatory protein
GLPIOCIE_00037	gene	1113	ald_1			
GLPIOCIE_00037	CDS	1113	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
GLPIOCIE_00038	gene	399	mscL			
GLPIOCIE_00038	CDS	399	mscL		COG1970	Large-conductance mechanosensitive channel
GLPIOCIE_00039	gene	2409	pheT			
GLPIOCIE_00039	CDS	2409	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GLPIOCIE_00040	gene	1083	pheS			
GLPIOCIE_00040	CDS	1083	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GLPIOCIE_00041	gene	363	rplT			
GLPIOCIE_00041	CDS	363	rplT		COG0292	50S ribosomal protein L20
GLPIOCIE_00042	gene	201	rpmI			
GLPIOCIE_00042	CDS	201	rpmI		COG0291	50S ribosomal protein L35
GLPIOCIE_00043	gene	1455	ttuE			
GLPIOCIE_00043	CDS	1455	ttuE	2.7.1.40		Pyruvate kinase
GLPIOCIE_00044	gene	744				
GLPIOCIE_00044	CDS	744				hypothetical protein
GLPIOCIE_00045	gene	321				
GLPIOCIE_00045	CDS	321				hypothetical protein
GLPIOCIE_00046	gene	651				
GLPIOCIE_00046	CDS	651				hypothetical protein
GLPIOCIE_00047	gene	864	dat			
GLPIOCIE_00047	CDS	864	dat	2.6.1.21		D-alanine aminotransferase
GLPIOCIE_00048	gene	633				
GLPIOCIE_00048	CDS	633				hypothetical protein
GLPIOCIE_00049	gene	966	ycjG			
GLPIOCIE_00049	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
GLPIOCIE_00050	gene	957	mcl1			
GLPIOCIE_00050	CDS	957	mcl1	4.1.3.24	COG2301	L-malyl-CoA/beta-methylmalyl-CoA lyase
GLPIOCIE_00051	gene	960	accA			
GLPIOCIE_00051	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
GLPIOCIE_00052	gene	747				
GLPIOCIE_00052	CDS	747				hypothetical protein
GLPIOCIE_00053	gene	630				
GLPIOCIE_00053	CDS	630				hypothetical protein
GLPIOCIE_00054	gene	993	epd			
GLPIOCIE_00054	CDS	993	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
GLPIOCIE_00055	gene	486	allA			
GLPIOCIE_00055	CDS	486	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
GLPIOCIE_00056	gene	852	allE			
GLPIOCIE_00056	CDS	852	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
GLPIOCIE_00057	gene	1416				
GLPIOCIE_00057	CDS	1416				hypothetical protein
GLPIOCIE_00058	gene	360	pucM			
GLPIOCIE_00058	CDS	360	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
GLPIOCIE_00059	gene	975	deoC			
GLPIOCIE_00059	CDS	975	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
GLPIOCIE_00060	gene	2367	betB_1			
GLPIOCIE_00060	CDS	2367	betB_1	1.2.1.8		NAD/NADP-dependent betaine aldehyde dehydrogenase
GLPIOCIE_00061	gene	702	nagK			
GLPIOCIE_00061	CDS	702	nagK	3.7.1.20		Fumarylpyruvate hydrolase
GLPIOCIE_00062	gene	243				
GLPIOCIE_00062	CDS	243				hypothetical protein
GLPIOCIE_00063	gene	780	sdhB			
GLPIOCIE_00063	CDS	780	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
GLPIOCIE_00064	gene	294				
GLPIOCIE_00064	CDS	294				hypothetical protein
GLPIOCIE_00065	gene	360				
GLPIOCIE_00065	CDS	360				hypothetical protein
GLPIOCIE_00066	gene	1803	sdhA			
GLPIOCIE_00066	CDS	1803	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
GLPIOCIE_00067	gene	372				
GLPIOCIE_00067	CDS	372				hypothetical protein
GLPIOCIE_00068	gene	384				
GLPIOCIE_00068	CDS	384				hypothetical protein
GLPIOCIE_00069	gene	1032	mch			
GLPIOCIE_00069	CDS	1032	mch	4.2.1.148	COG2030	Mesaconyl-CoA hydratase
GLPIOCIE_00070	gene	558				
GLPIOCIE_00070	CDS	558				hypothetical protein
GLPIOCIE_00071	gene	864	mcl2			
GLPIOCIE_00071	CDS	864	mcl2	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
GLPIOCIE_00072	gene	750				
GLPIOCIE_00072	CDS	750				hypothetical protein
GLPIOCIE_00073	gene	963	mdh			
GLPIOCIE_00073	CDS	963	mdh	1.1.1.37		Malate dehydrogenase
GLPIOCIE_00074	gene	1194	sucC			
GLPIOCIE_00074	CDS	1194	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
GLPIOCIE_00075	gene	882	sucD			
GLPIOCIE_00075	CDS	882	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
GLPIOCIE_00076	gene	723				
GLPIOCIE_00076	CDS	723				hypothetical protein
GLPIOCIE_00077	gene	2967	sucA			
GLPIOCIE_00077	CDS	2967	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
GLPIOCIE_00078	gene	1524				
GLPIOCIE_00078	CDS	1524				hypothetical protein
GLPIOCIE_00079	gene	393				
GLPIOCIE_00079	CDS	393				hypothetical protein
GLPIOCIE_00080	gene	1395	lpd3			
GLPIOCIE_00080	CDS	1395	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
GLPIOCIE_00081	gene	651	mcbR_1			
GLPIOCIE_00081	CDS	651	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
GLPIOCIE_00082	gene	690				
GLPIOCIE_00082	CDS	690				hypothetical protein
GLPIOCIE_00083	gene	324				
GLPIOCIE_00083	CDS	324				hypothetical protein
GLPIOCIE_00084	gene	76				
GLPIOCIE_00084	tRNA	76				tRNA-Ala(ggc)
GLPIOCIE_00085	gene	315	pchB			
GLPIOCIE_00085	CDS	315	pchB	4.2.99.21	COG1605	Isochorismate pyruvate lyase
GLPIOCIE_00086	gene	636	rhtB			
GLPIOCIE_00086	CDS	636	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
GLPIOCIE_00087	gene	891	hemF			
GLPIOCIE_00087	CDS	891	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
GLPIOCIE_00088	gene	399				
GLPIOCIE_00088	CDS	399				hypothetical protein
GLPIOCIE_00089	gene	813	hdhA			
GLPIOCIE_00089	CDS	813	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
GLPIOCIE_00090	gene	1029	rsmC			
GLPIOCIE_00090	CDS	1029	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
GLPIOCIE_00091	gene	357	clpS			
GLPIOCIE_00091	CDS	357	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
GLPIOCIE_00092	gene	711				
GLPIOCIE_00092	CDS	711				hypothetical protein
GLPIOCIE_00093	gene	1959				
GLPIOCIE_00093	CDS	1959				hypothetical protein
GLPIOCIE_00094	gene	159				
GLPIOCIE_00094	CDS	159				hypothetical protein
GLPIOCIE_00095	gene	2190	pacS			
GLPIOCIE_00095	CDS	2190	pacS	7.2.2.8		putative copper-transporting ATPase PacS
GLPIOCIE_00096	gene	456				
GLPIOCIE_00096	CDS	456				hypothetical protein
GLPIOCIE_00097	gene	1419				
GLPIOCIE_00097	CDS	1419				hypothetical protein
GLPIOCIE_00098	gene	1305				
GLPIOCIE_00098	CDS	1305				hypothetical protein
GLPIOCIE_00099	gene	876	ccoP			
GLPIOCIE_00099	CDS	876	ccoP		COG2010	Cbb3-type cytochrome c oxidase subunit CcoP
GLPIOCIE_00100	gene	186				
GLPIOCIE_00100	CDS	186				hypothetical protein
GLPIOCIE_00101	gene	726				
GLPIOCIE_00101	CDS	726				hypothetical protein
GLPIOCIE_00102	gene	1599	fixN			
GLPIOCIE_00102	CDS	1599	fixN	1.9.3.1		Cytochrome c oxidase subunit 1 , bacteroid
GLPIOCIE_00103	gene	840				
GLPIOCIE_00103	CDS	840				hypothetical protein
GLPIOCIE_00104	gene	1047	rsgA			
GLPIOCIE_00104	CDS	1047	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
GLPIOCIE_00105	gene	1911	yfkN_1			
GLPIOCIE_00105	CDS	1911	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
GLPIOCIE_00106	gene	960	nudC			
GLPIOCIE_00106	CDS	960	nudC	3.6.1.22		NADH pyrophosphatase
GLPIOCIE_00107	gene	474				
GLPIOCIE_00107	CDS	474				hypothetical protein
GLPIOCIE_00108	gene	858	pheA			
GLPIOCIE_00108	CDS	858	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
GLPIOCIE_00109	gene	525	cycM			
GLPIOCIE_00109	CDS	525	cycM		COG3474	Cytochrome c-552
GLPIOCIE_00110	gene	1881				
GLPIOCIE_00110	CDS	1881				hypothetical protein
GLPIOCIE_00111	gene	1086	yejB			
GLPIOCIE_00111	CDS	1086	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
GLPIOCIE_00112	gene	1107	yejE			
GLPIOCIE_00112	CDS	1107	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
GLPIOCIE_00113	gene	1599	yejF			
GLPIOCIE_00113	CDS	1599	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
GLPIOCIE_00114	gene	1212	mshA_1			
GLPIOCIE_00114	CDS	1212	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GLPIOCIE_00115	gene	1356	hemN			
GLPIOCIE_00115	CDS	1356	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
GLPIOCIE_00116	gene	747	fixK_1			
GLPIOCIE_00116	CDS	747	fixK_1		COG0664	Nitrogen fixation regulation protein FixK
GLPIOCIE_00117	gene	1785				
