locus_tag	ftype	length_bp	gene	EC_number	COG	product
PHGFGAAC_00001	gene	1842	ilvD			
PHGFGAAC_00001	CDS	1842	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PHGFGAAC_00002	gene	1194	ackA			
PHGFGAAC_00002	CDS	1194	ackA	2.7.2.1	COG0282	Acetate kinase
PHGFGAAC_00003	gene	1389				
PHGFGAAC_00003	CDS	1389				hypothetical protein
PHGFGAAC_00004	gene	1077	yhhT_1			
PHGFGAAC_00004	CDS	1077	yhhT_1		COG0628	Putative transport protein YhhT
PHGFGAAC_00005	gene	720				
PHGFGAAC_00005	CDS	720				hypothetical protein
PHGFGAAC_00006	gene	2580				
PHGFGAAC_00006	CDS	2580				hypothetical protein
PHGFGAAC_00007	gene	1038	mccA			
PHGFGAAC_00007	CDS	1038	mccA	2.5.1.134	COG0031	O-acetylserine dependent cystathionine beta-synthase
PHGFGAAC_00008	gene	1125				
PHGFGAAC_00008	CDS	1125				hypothetical protein
PHGFGAAC_00009	gene	441				
PHGFGAAC_00009	CDS	441				hypothetical protein
PHGFGAAC_00010	gene	1233	ufaA1			
PHGFGAAC_00010	CDS	1233	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
PHGFGAAC_00011	gene	1413	phrA			
PHGFGAAC_00011	CDS	1413	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
PHGFGAAC_00012	gene	1242	sufS_1			
PHGFGAAC_00012	CDS	1242	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase
PHGFGAAC_00013	gene	1050	potD			
PHGFGAAC_00013	CDS	1050	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
PHGFGAAC_00014	gene	331	ssrA			
PHGFGAAC_00014	tmRNA	331	ssrA			transfer-messenger RNA, SsrA
PHGFGAAC_00015	gene	426				
PHGFGAAC_00015	CDS	426				hypothetical protein
PHGFGAAC_00016	gene	447				
PHGFGAAC_00016	CDS	447				hypothetical protein
PHGFGAAC_00017	gene	576				
PHGFGAAC_00017	CDS	576				hypothetical protein
PHGFGAAC_00018	gene	1395	fumC			
PHGFGAAC_00018	CDS	1395	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
PHGFGAAC_00019	gene	180				
PHGFGAAC_00019	CDS	180				hypothetical protein
PHGFGAAC_00020	gene	219				
PHGFGAAC_00020	CDS	219				hypothetical protein
PHGFGAAC_00021	gene	975	cobS			
PHGFGAAC_00021	CDS	975	cobS	6.6.1.2		Aerobic cobaltochelatase subunit CobS
PHGFGAAC_00022	gene	1866	cobT			
PHGFGAAC_00022	CDS	1866	cobT	6.6.1.2		Aerobic cobaltochelatase subunit CobT
PHGFGAAC_00023	gene	1803				
PHGFGAAC_00023	CDS	1803				hypothetical protein
PHGFGAAC_00024	gene	1392				
PHGFGAAC_00024	CDS	1392		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
PHGFGAAC_00025	gene	390				
PHGFGAAC_00025	CDS	390				hypothetical protein
PHGFGAAC_00026	gene	942	rihA			
PHGFGAAC_00026	CDS	942	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
PHGFGAAC_00027	gene	1008	futA1			
PHGFGAAC_00027	CDS	1008	futA1			Iron uptake protein A1
PHGFGAAC_00028	gene	387				
PHGFGAAC_00028	CDS	387				hypothetical protein
PHGFGAAC_00029	gene	1200	yciC			
PHGFGAAC_00029	CDS	1200	yciC		COG0523	Putative metal chaperone YciC
PHGFGAAC_00030	gene	384				
PHGFGAAC_00030	CDS	384				hypothetical protein
PHGFGAAC_00031	gene	1374	cobB			
PHGFGAAC_00031	CDS	1374	cobB	6.3.5.9		Hydrogenobyrinate a,c-diamide synthase
PHGFGAAC_00032	gene	1557	cobQ_1			
PHGFGAAC_00032	CDS	1557	cobQ_1			Cobyric acid synthase
PHGFGAAC_00033	gene	1455	cobQ_2			
PHGFGAAC_00033	CDS	1455	cobQ_2			Cobyric acid synthase
PHGFGAAC_00034	gene	378				
PHGFGAAC_00034	CDS	378				hypothetical protein
PHGFGAAC_00035	gene	585				
PHGFGAAC_00035	CDS	585				hypothetical protein
PHGFGAAC_00036	gene	474				
PHGFGAAC_00036	CDS	474				hypothetical protein
PHGFGAAC_00037	gene	855				
PHGFGAAC_00037	CDS	855				hypothetical protein
PHGFGAAC_00038	gene	1491	dauA_1			
PHGFGAAC_00038	CDS	1491	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
PHGFGAAC_00039	gene	825	draT			
PHGFGAAC_00039	CDS	825	draT	2.4.2.37		NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase
PHGFGAAC_00040	gene	912	draG			
PHGFGAAC_00040	CDS	912	draG	3.2.2.24	COG1397	ADP-ribosyl-[dinitrogen reductase] glycohydrolase
PHGFGAAC_00041	gene	1218				
PHGFGAAC_00041	CDS	1218				hypothetical protein
PHGFGAAC_00042	gene	2190				
PHGFGAAC_00042	CDS	2190				hypothetical protein
PHGFGAAC_00043	gene	984				
PHGFGAAC_00043	CDS	984				hypothetical protein
PHGFGAAC_00044	gene	1152				
PHGFGAAC_00044	CDS	1152				hypothetical protein
PHGFGAAC_00045	gene	1041				
PHGFGAAC_00045	CDS	1041				hypothetical protein
PHGFGAAC_00046	gene	951	lipA			
PHGFGAAC_00046	CDS	951	lipA	2.8.1.8	COG0320	Lipoyl synthase
PHGFGAAC_00047	gene	942	oxyR			
PHGFGAAC_00047	CDS	942	oxyR			Hydrogen peroxide-inducible genes activator
PHGFGAAC_00048	gene	1113				
PHGFGAAC_00048	CDS	1113				hypothetical protein
PHGFGAAC_00049	gene	300				
PHGFGAAC_00049	CDS	300				hypothetical protein
PHGFGAAC_00050	gene	1536				
PHGFGAAC_00050	CDS	1536				hypothetical protein
PHGFGAAC_00051	gene	627				
PHGFGAAC_00051	CDS	627				hypothetical protein
PHGFGAAC_00052	gene	1209	fabF_1			
PHGFGAAC_00052	CDS	1209	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
PHGFGAAC_00053	gene	282	acpP_1			
PHGFGAAC_00053	CDS	282	acpP_1			Acyl carrier protein
PHGFGAAC_00054	gene	1092	lpxD			
PHGFGAAC_00054	CDS	1092	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
PHGFGAAC_00055	gene	1608				
PHGFGAAC_00055	CDS	1608				hypothetical protein
PHGFGAAC_00056	gene	561				
PHGFGAAC_00056	CDS	561				hypothetical protein
PHGFGAAC_00057	gene	711				
PHGFGAAC_00057	CDS	711				hypothetical protein
PHGFGAAC_00058	gene	1680				
PHGFGAAC_00058	CDS	1680				hypothetical protein
PHGFGAAC_00059	gene	267				
PHGFGAAC_00059	CDS	267				hypothetical protein
PHGFGAAC_00060	gene	1575				
PHGFGAAC_00060	CDS	1575				hypothetical protein
PHGFGAAC_00061	gene	1431				
PHGFGAAC_00061	CDS	1431				hypothetical protein
PHGFGAAC_00062	gene	1188				
PHGFGAAC_00062	CDS	1188				hypothetical protein
PHGFGAAC_00063	gene	795				
PHGFGAAC_00063	CDS	795		2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
PHGFGAAC_00064	gene	999				
PHGFGAAC_00064	CDS	999				hypothetical protein
PHGFGAAC_00065	gene	1641				
PHGFGAAC_00065	CDS	1641				hypothetical protein
PHGFGAAC_00066	gene	768				
PHGFGAAC_00066	CDS	768				hypothetical protein
PHGFGAAC_00067	gene	711	tam_1			
PHGFGAAC_00067	CDS	711	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
PHGFGAAC_00068	gene	1623	cimA			
PHGFGAAC_00068	CDS	1623	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
PHGFGAAC_00069	gene	1599	mshC			
PHGFGAAC_00069	CDS	1599	mshC	6.3.1.13		L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
PHGFGAAC_00070	gene	345				
PHGFGAAC_00070	CDS	345				hypothetical protein
PHGFGAAC_00071	gene	1095	potA			
PHGFGAAC_00071	CDS	1095	potA	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
PHGFGAAC_00072	gene	807	ydcV			
PHGFGAAC_00072	CDS	807	ydcV			Inner membrane ABC transporter permease protein YdcV
PHGFGAAC_00073	gene	939	potB			
PHGFGAAC_00073	CDS	939	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
PHGFGAAC_00074	gene	525				
PHGFGAAC_00074	CDS	525				hypothetical protein
PHGFGAAC_00075	gene	1410	hisC_1			
