locus_tag	ftype	length_bp	gene	EC_number	COG	product
PEOEJGFP_00001	gene	624	ugpC_1			
PEOEJGFP_00001	CDS	624	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
PEOEJGFP_00002	gene	807	allR			
PEOEJGFP_00002	CDS	807	allR		COG1414	HTH-type transcriptional repressor AllR
PEOEJGFP_00003	gene	1191	sgaA_1			
PEOEJGFP_00003	CDS	1191	sgaA_1	2.6.1.45		Serine--glyoxylate aminotransferase
PEOEJGFP_00004	gene	1155	argE			
PEOEJGFP_00004	CDS	1155	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
PEOEJGFP_00005	gene	1185	doeA_1			
PEOEJGFP_00005	CDS	1185	doeA_1	3.5.4.44	COG0006	Ectoine hydrolase
PEOEJGFP_00006	gene	996				
PEOEJGFP_00006	CDS	996				hypothetical protein
PEOEJGFP_00007	gene	1146	hipO_1			
PEOEJGFP_00007	CDS	1146	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
PEOEJGFP_00008	gene	1908	cysNC			
PEOEJGFP_00008	CDS	1908	cysNC		COG0529	Bifunctional enzyme CysN/CysC
PEOEJGFP_00009	gene	906	cysD			
PEOEJGFP_00009	CDS	906	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
PEOEJGFP_00010	gene	1005				
PEOEJGFP_00010	CDS	1005				hypothetical protein
PEOEJGFP_00011	gene	993	acuI			
PEOEJGFP_00011	CDS	993	acuI	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
PEOEJGFP_00012	gene	642	acuR			
PEOEJGFP_00012	CDS	642	acuR			Transcriptional regulator AcuR
PEOEJGFP_00013	gene	1218	macA_1			
PEOEJGFP_00013	CDS	1218	macA_1		COG0845	Macrolide export protein MacA
PEOEJGFP_00014	gene	2364				
PEOEJGFP_00014	CDS	2364				hypothetical protein
PEOEJGFP_00015	gene	705				
PEOEJGFP_00015	CDS	705			COG1136	putative ABC transporter ATP-binding protein
PEOEJGFP_00016	gene	2346	yhgF			
PEOEJGFP_00016	CDS	2346	yhgF		COG2183	Protein YhgF
PEOEJGFP_00017	gene	903				
